Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
UUU,Universal Security Instruments Inc. Common Stock,$10.77,-0.33,-2.973%,24909793.00,United States,,1591034,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$5.65,0.25,4.63%,758741223.00,,,7512192,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.59,0.14,0.969%,70573289.00,United States,1993,6547,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$13.64,0.1399,1.036%,61767963.00,United States,1993,6508,,
VGZ,Vista Gold Corp Common Stock,$1.05,-0.01,-0.943%,107818939.00,United States,,1076095,Basic Industries,Precious Metals
VHAQ,Viveon Health Acquisition Corp. Common Stock,$10.08,-0.05,-0.494%,253575000.00,,2021,81532,Finance,Business Services
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$11.68,-0.10,-0.849%,518493316.00,United States,,55954,,
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.46,0.06,0.448%,154856964.00,United States,1993,27935,,
VNRX,VolitionRX Limited Common Stock,$5.22,0.01,0.192%,255339568.00,Singapore,2015,670603,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VOLT,Volt Information Sciences Inc. Common Stock,$3.09,0.02,0.651%,67166017.00,United States,,398570,Technology,Professional Services
WRN,Western Copper and Gold Corporation Common Stock,$1.38,-0.02,-1.429%,187124736.00,Canada,2011,1727552,Basic Industries,Precious Metals
WTT,Wireless Telecom Group  Inc. Common Stock,$2.66,0.20,8.13%,57708727.00,United States,,1511201,Capital Goods,Telecommunications Equipment
WYY,WidePoint Corporation Common Stock,$12.96,0.16,1.25%,109625193.00,United States,,122451,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.91,-0.09,-9.00%,52878613.00,United States,,6859549,Basic Industries,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.82,-0.17,-8.543%,139887082.00,United States,,269416,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
XXII,22nd Century Group Inc. Common Stock,$3.72,0.25,7.205%,516556198.00,United States,,6256350,Consumer Non-Durables,Farming/Seeds/Milling
YCBD,cbdMD Inc. Common Stock,$4.87,-1.42,-22.576%,253877337.00,United States,2017,3733151,Consumer Non-Durables,Package Goods/Cosmetics
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$9.14,-1.36,-12.952%,,United States,,64901,,
ZDGE,Zedge Inc. Class B Common Stock ,$12.84,-0.23,-1.76%,160805425.00,,2016,466557,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$2.66,0.11,4.314%,2239374330.00,United States,2017,201246405,Health Care,Major Pharmaceuticals
