Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
IBIO,iBio Inc. Common Stock,$2.34,-0.26,-10.00%,505463239.00,United States,,14697934,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,$8.30,-0.26,-3.037%,272849701.00,United States,2017,10723,Technology,Advertising
IGC,India Globalization Capital Inc. Common Stock,$2.47,-0.63,-20.323%,105677382.00,United States,,25969914,Technology,Electronic Components
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$2.72,-0.10,-3.546%,25225892.00,United States,,16583,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$3.65,-0.13,-3.439%,77488978.00,United States,1997,39718,Consumer Services,Real Estate Investment Trusts
IMO,Imperial Oil Limited Common Stock,$20.10,-0.39,-1.903%,14754942776.00,Canada,,826539,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$6.8631,-0.5969,-8.001%,50841536.00,,2019,22806,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$19.44,0.46,2.424%,393405958.00,United States,,153396,Health Care,Medical/Dental Instruments
INS,Intelligent Systems Corporation Common Stock,$47.31,-4.14,-8.047%,422448400.00,United States,1992,372994,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$7.79,0.21,2.77%,82021868.00,United States,1997,36848,Capital Goods,Electrical Products
INUV,Inuvo Inc.,$1.80,-0.04,-2.174%,210876730.00,United States,,11265341,Consumer Services,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$11.9083,0.6483,5.758%,49636343.00,United States,,446,Consumer Services,Real Estate Investment Trusts
ISDR,Issuer Direct Corporation Common Stock,$22.25,-1.15,-4.915%,83253982.00,United States,,13829,Miscellaneous,Publishing
ISR,IsoRay Inc. Common Stock (DE),$1.63,-0.11,-6.322%,221353760.00,United States,,9502102,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,$1.13,-0.02,-1.739%,61830926.00,China,,12625289,Consumer Durables,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$3.46,0.045,1.318%,188944292.00,,,77497,Basic Industries,Precious Metals
JOB,GEE Group Inc. Common Stock,$1.68,0.16,10.526%,29680767.00,United States,,1784361,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$1.13,-0.05,-4.237%,53302197.00,Canada,,3330186,Capital Goods,Railroads
KLR,Kaleyra Inc. Common Stock,$15.55,-0.68,-4.19%,456012785.00,United States,2018,556485,Technology,EDP Services
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$2.83,-0.06,-2.076%,424447212.00,United States,,1833847,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$24.91,-0.66,-2.581%,299913635.00,United States,2014,123957,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGL,LGL Group Inc. (The) Common Stock,$11.00,-0.05,-0.452%,57852806.00,United States,,15095,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$68.12,0.58,0.859%,17184905902.00,United States,,1009031,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$2.08,-0.19,-8.37%,72759993.00,United States,,1777579,Basic Industries,Precious Metals
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$7.46,-0.62,-7.673%,194384325.00,United States,2017,397163,Consumer Services,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$53.82,-1.90,-3.41%,477646580.00,,2020,106155,Consumer Non-Durables,Packaged Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$18.41,-0.16,-0.862%,508522843.00,United Kingdom,2012,106276,Basic Industries,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$18.47,-0.33,-1.755%,1749908419.00,Canada,,707349,Basic Industries,Precious Metals
MCF,Contango Oil & Gas Company Common Stock (TX),$3.96,-0.10,-2.463%,687802991.00,United States,,1886784,Energy,Oil & Gas Production
MHH,Mastech Digital Inc Common Stock,$16.88,-0.77,-4.363%,192090163.00,United States,,40374,Consumer Services,Professional Services
MLSS,Milestone Scientific Inc. Common Stock,$3.71,-0.08,-2.111%,236302770.00,United States,2015,503107,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$5.20,-0.10,-1.887%,730539207.00,,,261392,Basic Industries,Precious Metals
MSN,Emerson Radio Corporation Common Stock,$1.90,0.16,9.195%,39981039.00,United States,,3805456,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$10.00,0.16,1.626%,396161160.00,,,215566,Basic Industries,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$1.42,-0.01,-0.699%,283491296.00,United States,2017,5404117,Health Care,Major Pharmaceuticals
MXC,Mexco Energy Corporation Common Stock,$9.21,-2.37,-20.466%,18897686.00,United States,,162169,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$13.11,0.23,1.786%,60067241.00,United States,2017,98968,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$1.00,0.0599,6.372%,509046631.00,Canada,,149592188,Basic Industries,Precious Metals
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$2.67,-0.13,-4.643%,71254819.00,United States,,316155,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBA,New Beginnings Acquisition Corp. Common Stock,$10.69,0.09,0.849%,159494800.00,,2020,92696,Finance,Business Services
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$16.43,-0.17,-1.024%,309181317.00,United States,2002,48003,,
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$12.72,-0.02,-0.157%,64584744.00,United States,2002,16296,,
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$13.85,-0.02,-0.144%,76881959.00,United States,2002,21425,,
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$1.18,-0.01,-0.84%,49303449.00,United States,2007,3166454,Health Care,Major Pharmaceuticals
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$51.274,0.774,1.533%,187288335.00,United States,,8070,Consumer Services,Building operators
NES,Nuverra Environmental Solutions Inc. Common Stock,$3.02,-0.18,-5.625%,47632708.00,United States,2017,94147,Energy,Oilfield Services/Equipment
NG,Novagold Resources Inc.,$9.17,-0.31,-3.27%,3038210085.00,Canada,,768314,Basic Industries,Precious Metals
NGD,New Gold Inc.,$1.75,-0.05,-2.778%,1183700000.00,Canada,,5582162,Basic Industries,Precious Metals
NHC,National HealthCare Corporation Common Stock,$67.08,1.84,2.82%,1030314455.00,United States,,29424,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$12.38,0.09,0.732%,241912442.00,United States,,87455,,
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$3.86,-0.03,-0.771%,218703462.00,,2013,407045,,
NNVC,NanoViricides Inc. Common Stock,$5.03,-0.01,-0.198%,53644950.00,United States,,240952,Health Care,Major Pharmaceuticals
NOG,Northern Oil and Gas Inc. Common Stock,$11.76,-1.16,-8.978%,686876939.00,United States,,1574962,,
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$4.38,0.04,0.922%,207701356.00,United States,2003,127723,,
NSPR,InspireMD Inc. Common Stock,$1.31,0.01,0.769%,132136484.00,Israel,,34209674,Health Care,Medical/Dental Instruments
NTIP,Network-1 Technologies Inc. Common Stock,$3.68,-0.1398,-3.66%,88441720.00,United States,,26111,Miscellaneous,Multi-Sector Companies
NTN,NTN Buzztime Inc. Common Stock,$5.11,0.32,6.681%,15157905.00,United States,,2193420,Health Care,Major Pharmaceuticals
NXE,Nexgen Energy Ltd. Common Shares,$3.87,-0.09,-2.273%,1461737967.00,,,2288988,Basic Industries,Precious Metals
OBLG,Oblong Inc. Common Stock,$5.33,-0.02,-0.374%,41300193.00,United States,,349945,Technology,Computer Software: Programming Data Processing
OCX,OncoCyte Corporation Common Stock,$5.75,-0.10,-1.709%,452305408.00,United States,2015,1365563,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
OGEN,Oragenics Inc. Common Stock,$1.38,-0.09,-6.122%,126638361.00,United States,,12898337,Health Care,Major Pharmaceuticals
ORLA,Orla Mining Ltd. Common Shares,$4.14,-0.23,-5.263%,947919240.00,,2020,193865,Basic Industries,Precious Metals
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$29.57,0.03,0.102%,,United States,,2961,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$27.32,-0.30,-1.086%,,United States,,269,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$25.25,0.23,0.919%,,United States,,1137,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$25.2453,-0.2547,-0.999%,,United States,,167,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$24.90,-0.23,-0.915%,,United States,,192,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$24.41,0.12,0.494%,,United States,,184,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$23.2601,-0.9599,-3.963%,,United States,,390,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$23.9699,0.00,0.00%,,United States,,66,,
PED,Pedevco Corp. Common Stock,$1.82,-0.15,-7.614%,144614051.00,United States,,2232474,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$7.00,0.00,0.00%,162729364.00,,2019,76497,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLAG,Planet Green Holdings Corp. Common Stock,$3.31,0.05,1.534%,52720902.00,China,,310520,Consumer Non-Durables,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$4.87,-0.16,-3.181%,351661609.00,Canada,,1910444,Basic Industries,Precious Metals
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$4.05,-0.23,-5.374%,407833850.00,Canada,,722456,Basic Industries,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$5.79,0.04,0.696%,193019545.00,Israel,,1076645,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$26.705,0.0474,0.178%,,United States,,1220,,
PRK,Park National Corporation Common Stock,$118.42,-0.27,-0.227%,2086934962.00,United States,,67495,Finance,Major Banks
PTK,PTK Acquisition Corp. Common Stock,$10.42,-0.028,-0.268%,149787500.00,United States,2020,12396,Finance,Business Services
